MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022miket_qm30,blue,frc27,frc5561,frc1506,70,18,0,0,0,0,0,8,2,1,1,0,0,14,6,true,16,Mid,High,None,0,0,true,27,false,4,Yes,Yes,Yes,0,3,5,1,1,40,25,1,7,2,5,56,70
2022miket_qm30,red,frc5067,frc8385,frc8767,18,70,0,0,0,0,0,0,0,0,0,0,0,4,4,false,12,None,Mid,Mid,0,0,false,2,false,0,Yes,No,Yes,0,1,0,1,0,2,2,0,0,0,0,14,18
2022miket_qm31,blue,frc494,frc815,frc5460,94,50,0,0,0,0,0,20,5,0,0,5,0,24,4,true,25,Traversal,None,High,1,4,true,26,true,4,Yes,No,Yes,0,1,0,0,0,41,21,3,3,6,8,66,94
2022miket_qm31,red,frc5084,frc5538,frc3542,50,94,0,0,1,1,1,6,3,0,0,0,0,12,6,true,15,Traversal,None,None,1,4,false,22,false,1,Yes,Yes,Yes,0,3,4,8,4,19,19,0,0,0,0,34,50
2022miket_qm32,blue,frc5166,frc7202,frc6067,38,13,0,1,0,0,0,10,3,1,0,0,1,14,4,false,12,Mid,None,Mid,0,4,false,8,false,2,Yes,No,Yes,0,0,0,0,2,8,5,0,0,1,2,20,38
2022miket_qm32,red,frc8774,frc7784,frc5260,13,38,0,0,0,1,1,4,2,0,0,0,0,10,6,false,0,None,None,None,1,0,false,5,false,0,Yes,Yes,Yes,0,0,1,0,2,3,3,0,0,0,0,3,13
2022miket_qm33,blue,frc7192,frc4994,frc5114,56,41,0,0,0,0,1,10,3,0,0,0,2,16,6,false,21,Mid,Traversal,None,0,4,true,11,false,3,Yes,Yes,Yes,0,0,1,0,0,15,8,4,1,0,2,36,56
2022miket_qm33,red,frc4377,frc3568,frc6610,41,56,0,0,1,0,1,4,2,0,0,0,0,10,6,false,12,Mid,Mid,None,1,0,false,16,false,0,Yes,Yes,Yes,0,2,4,3,0,19,14,1,2,0,2,31,41
2022miket_qm34,blue,frc2145,frc5247,frc6548,18,13,0,0,0,1,0,2,1,0,0,0,0,6,4,false,12,Mid,Mid,None,1,0,false,1,false,2,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0,0,12,18
2022miket_qm34,red,frc5697,frc1322,frc5641,13,18,0,0,0,0,0,0,0,0,0,0,0,2,2,false,0,None,None,None,0,4,false,7,false,0,Yes,No,No,0,1,4,1,1,7,7,0,0,0,0,7,13
