Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5960,18.16,14.03,0.00,5.50,2.88,2.70,2.87,0.80,1.10,2.23,1.68,0.91,9.88,0.00,0.00,0.00,1.44,0.23,0.97,0.41,-0.32,2.79,-0.85,1.84,1.49,1.34,0.30,-0.14,0.02,-0.19,-0.07,0.01,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.49,1.33,2.33,0.49,5.50,0.05,12.98,0.00,0.00,0.00,0.00,18.16,
frc653,2.67,5.71,0.00,0.17,0.88,0.57,1.31,0.16,0.32,1.61,1.08,0.53,1.75,0.00,0.00,0.00,0.45,0.68,-0.17,-0.24,-0.41,1.07,-1.05,0.19,0.38,0.83,0.08,-0.13,-0.07,-0.02,0.05,-0.01,-0.02,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.50,0.16,0.86,0.44,0.17,-0.05,2.91,0.00,0.00,0.00,0.00,2.67,
frc3029,-0.17,11.92,0.00,-0.08,0.52,0.58,0.16,-0.75,-0.43,0.31,0.75,0.32,-1.35,0.00,0.00,0.00,-0.05,1.15,0.57,0.95,1.43,1.26,-0.58,0.70,1.29,1.13,-1.42,-0.17,-0.20,-0.19,-0.07,-0.02,-0.03,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.33,2.06,2.06,-0.12,-0.08,0.04,-1.51,0.00,0.00,0.00,0.00,-0.17,
frc7837,3.88,15.80,0.00,2.05,0.22,0.66,0.91,-0.32,0.30,1.00,1.02,0.32,0.05,0.00,0.00,0.00,-0.24,0.55,0.56,0.00,-0.08,1.05,-1.14,0.20,1.11,1.26,0.80,0.04,-0.04,0.08,0.04,-0.01,-0.01,0.00,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.14,0.88,0.34,-0.54,2.05,-0.03,1.90,0.00,0.00,0.00,0.00,3.88,
frc5726,9.07,9.09,0.00,4.06,0.56,0.76,0.12,0.91,2.26,0.45,0.62,0.51,1.18,0.00,0.00,0.00,0.44,0.69,1.71,-0.10,-0.31,2.37,1.75,1.31,1.33,2.16,1.77,0.11,0.32,-0.08,-0.04,0.01,0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.87,0.97,1.86,0.42,4.06,0.15,5.32,0.00,0.00,0.00,0.00,9.07,
frc6754,1.67,12.40,0.00,-0.83,0.95,0.70,1.46,-0.31,-0.03,0.71,0.99,0.44,0.98,0.00,0.00,0.00,-0.20,0.03,0.01,0.39,1.54,0.00,-1.08,0.52,0.70,0.94,-0.03,0.35,-0.15,0.26,-0.16,-0.01,0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.49,1.31,0.72,-0.22,-0.83,0.05,0.95,0.00,0.00,0.00,0.00,1.67,
frc5894,14.13,4.15,0.00,1.69,1.69,1.92,2.35,0.45,0.56,2.23,1.87,1.52,9.05,0.00,0.00,0.00,1.12,1.47,1.27,-0.14,-0.67,3.92,-0.20,1.31,1.93,1.79,0.14,-0.11,0.02,0.10,-0.01,-0.01,0.01,0.00,0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.63,0.91,1.24,1.11,1.69,0.05,13.11,0.00,0.00,0.00,0.00,14.13,
frc3240,14.37,6.38,0.00,5.84,1.18,1.76,1.13,0.53,0.29,1.28,1.53,0.92,4.39,0.00,0.00,0.00,1.78,0.90,0.71,0.20,0.17,3.50,1.92,2.19,1.43,2.26,0.47,-0.12,0.11,0.05,0.00,-0.01,0.00,0.00,0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.20,1.75,0.74,5.84,-0.04,8.36,0.00,0.00,0.00,0.00,14.37,
frc4332,10.92,6.68,0.00,3.54,0.92,0.53,0.81,0.13,-0.37,1.51,0.87,1.08,1.50,0.00,0.00,0.00,1.55,1.09,1.56,-0.30,1.27,3.76,5.13,1.32,1.99,0.95,0.84,0.10,-0.03,0.41,-0.15,0.16,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.84,1.22,1.19,0.55,3.54,0.04,6.10,0.00,0.00,0.00,0.00,10.92,
frc5754,16.54,10.01,0.00,3.34,1.11,1.11,1.15,1.76,1.12,1.84,1.33,1.47,4.55,0.00,0.00,0.00,0.83,0.92,0.76,0.15,0.62,2.66,-0.42,0.90,2.29,1.89,5.37,0.37,1.13,0.02,0.93,0.16,0.17,0.00,0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.47,1.44,1.25,0.48,3.34,-0.05,12.58,0.00,0.00,0.00,0.00,16.54,
frc3997,8.25,18.04,0.00,2.11,0.75,1.01,1.03,0.74,0.12,0.65,0.91,1.16,2.28,0.00,0.00,0.00,0.37,0.53,0.44,0.55,2.82,1.46,-0.12,1.74,0.56,0.56,-0.43,-0.20,-0.03,-0.16,-0.11,-0.03,-0.01,0.00,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.27,0.35,1.19,-0.15,2.11,0.05,3.31,0.00,0.00,0.00,0.00,8.25,
frc5572,19.67,2.67,0.00,2.90,1.44,1.93,1.76,1.66,3.97,2.51,2.31,1.47,10.70,0.00,0.00,0.00,0.34,1.35,0.94,0.16,0.21,2.83,1.45,1.67,2.09,1.18,3.02,0.44,0.07,-0.12,-0.08,0.00,0.01,0.00,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.05,1.01,1.22,2.90,0.04,16.55,0.00,0.00,0.00,0.00,19.67,
frc2969,4.61,12.39,0.00,1.47,0.32,0.06,0.73,0.46,-0.14,0.68,0.68,0.84,-0.99,0.00,0.00,0.00,0.15,0.57,0.81,-0.23,2.76,1.60,-0.83,1.16,0.98,1.46,-0.23,-0.19,-0.17,-0.03,0.04,-0.01,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.73,1.05,1.27,0.26,1.47,0.03,0.38,0.00,0.00,0.00,0.00,4.61,
frc7063,9.03,12.45,0.00,4.49,0.53,0.54,0.50,-0.07,0.29,0.62,0.70,0.58,0.09,0.00,0.00,0.00,1.13,0.24,2.09,0.17,1.00,3.49,2.32,1.05,1.51,2.33,-0.04,-0.21,0.22,0.02,0.03,0.00,-0.01,0.00,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.31,1.54,-0.00,4.49,-0.05,3.54,0.00,0.00,0.00,0.00,9.03,
